Year,Deaths,Category,Amount of Damage (2021 dollars),Storm Name,Countries Impacted,Source
1992,3,3,0,DARBY,Mexico,https://en.wikipedia.org/wiki/Hurricane_Darby_(1992)
1992,65,5,50300000000,ANDREW,"The Bahamas, United States (East Coast)",https://en.wikipedia.org/wiki/Hurricane_Andrew
1992,1,4,0,VIRGIL,Mexico,https://en.wikipedia.org/wiki/Hurricane_Virgil_(1992)
1992,3,3,9200000,WINIFRED,Mexico,https://en.wikipedia.org/wiki/Hurricane_Winifred_(1992)
1993,7,4,15000000000,LIDIA,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Lidia_(1993)
1995,9,4,6400000,FELIX,"Puerto Rico, Bermuda, United States (East Coast), Canada",https://en.wikipedia.org/wiki/Hurricane_Felix_(1995)
1995,19,4,5800000000,LUIS,"Antigua and Barbuda, Guadeloupe, Dominicana, Montserrat, Saint Kitts and Nevis, Saint Martin, Sint Maarten, Puerto Rico, United States, Virgin Islands, Canada",https://en.wikipedia.org/wiki/Hurricane_Luis
1995,13,3,4400000000,MARILYN,"Virgin Islands, Barbados, Martinique, Dominica, Guadeloupe, U.S. Virgin Islands, Puerto Rico, Bermuda",https://en.wikipedia.org/wiki/Hurricane_Marilyn
1995,63,4,8300000000,OPAL,"Guatemala, Mexico, United States (East Coast), Canada",https://en.wikipedia.org/wiki/Hurricane_Opal
1995,29,3,2600000000,ROXANNE,Mexico,https://en.wikipedia.org/wiki/Hurricane_Roxanne
1996,12,3,580000000,BERTHA,"Virgin Islands, Antigua and Barbuda, Dominican Republic, Puerto Rico, United States (East Coast), Canada",https://en.wikipedia.org/wiki/Hurricane_Bertha_(1996)
1996,39,4,273600000,HORTENSE,"Guadeloupe, Martinique, Puerto Rico, Dominican Republic, Bahamas, Bermuda, Turks and Caicos Canada",https://en.wikipedia.org/wiki/Hurricane_Hortense
1996,1,3,1300000,FAUSTO,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Fausto_(1996)
1996,22,3,1100000000,LILI,"Costa Rica, Nicaragua, Honduras, Belize, Cuba, Bahamas, Turks and Caicos, United States,",https://en.wikipedia.org/wiki/Hurricane_Lili_(1996)
1997,3,5,0,GUILLERMO,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Guillermo_(1997)
1997,2,3,16900000,ERIKA,"Virgin Islands, Antigua and Barbuda, Puerto Rico",https://en.wikipedia.org/wiki/Hurricane_Erika_(1997)
1997,0,5,5400000,LINDA,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Linda_(1997)
1997,6,4,169300000,NORA,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Nora_(1997)
1997,400,4,758000000,PAULINE,Mexico,https://en.wikipedia.org/wiki/Hurricane_Pauline
1998,4,4,0,BLAS,Mexico,https://en.wikipedia.org/wiki/1998_Pacific_hurricane_season
1998,5,3,1600000000,BONNIE,"United States (East Coast), Puerto Rico, The Bahamas",https://en.wikipedia.org/wiki/Hurricane_Bonnie_(1998)#Impact
1998,604,4,15600000000,GEORGES,"Antigua and Barbuda, Guadeloupe, St. Kitts and Nevis, Virgin Islands, Dominican Republic, Haiti, Bahamas, Cuba, Puerto Rico, United States",https://en.wikipedia.org/wiki/Hurricane_Georges#Impact_on_the_Leeward_Islands
1998,2,3,0,LESTER,Mexico,https://en.wikipedia.org/wiki/Hurricane_Lester_(1998)
1998,"11,374",5,10100000000,MITCH,"Cayman Islands, Cuba, Jamaica, Belize, Costa Rica, Honduras, El Salvador, Nicaragua, Guatemala, Panama, Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Mitch
1999,7,4,24400000,BRET,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Bret
1999,85,4,10600000,FLOYD,"Dominican Republic, Haiti, Cuba, Bahamas, United States, Canada",https://en.wikipedia.org/wiki/Hurricane_Floyd
1999,17,4,12800000,LENNY,"Colombia, Antigua and Barbuda, Aruba, Bonaire, Curaçao, Guadeloupe, Dominica, Saint Kitts and Nevis, Saint Martin, Martinique, Puerto Rico, Virgin Islands, Saint Lucia Jamaica, Hispaniola, Puerto Rico",https://en.wikipedia.org/wiki/Hurricane_Lenny
2000,18,4,0,CARLOTTA,Mexico,https://en.wikipedia.org/wiki/Hurricane_Carlotta_(2000)
2000,68,4,503300000,KEITH,"Belize, El Salvador, Nicaragua, Honduras, Guatemala, Mexico",
2001,12,4,613300000,JULIETTE,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Juliette_(2001)
2001,36,4,383500000,IRIS,"Dominica, Saint Lucia, Saint Vincent, Grenada, Dominic Republic, Jamaica, Honduras, Belize, Guatemala, Mexico",https://en.wikipedia.org/wiki/Hurricane_Iris
2001,48,4,3700000000,MICHELLE,"Jamaica, Costa Rica, Nicaragua, Honduras, Cayman Islands, Cuba, United States, The Bahamas, Turks and Caicos, Bermuda",https://en.wikipedia.org/wiki/Hurricane_Michelle
2002,0,5,0,HERNAN,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Hernan_(2002)
2002,22,3,1900000000,ISIDORE,"Venezuela, Jamaica, Cayman Islands, Cuba, Mexico, United States, Guatemala",https://en.wikipedia.org/wiki/Hurricane_Isidore
2002,15,4,1700000000,LILI,"Saint Lucia, Barbados, Grenada, St. Vincent and the Grenadines, Jamaica, Haiti, Cuba, Cayman Islands, United States",https://en.wikipedia.org/wiki/Hurricane_Lili
2002,4,5,152500000,KENNA,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Kenna
2003,51,5,5300000000,ISABEL,"Lesser Antilles, Greater Antilles, Turks and Caicos Islands, Bahamas, United States, Canada",https://en.wikipedia.org/wiki/Hurricane_Isabel
2004,35,4,24300000000,CHARLEY,"Jamaica, Cayman Islands, Cuba United States (East Coast)",https://en.wikipedia.org/wiki/Hurricane_Charley#Impact
2004,50,4,14500000000,FRANCES,"Virgin Islands, Puerto Rico, Turks and Caicos, The Bahamas, United States (East Coast)",https://en.wikipedia.org/wiki/Hurricane_Frances
2004,124,5,37500000000,IVAN,"Grenada, Trinidad and Tobago, Venezuela, Dominican Republic, Barbados, Saint Lucia, Saint Vincent and the Grenadines, Jamaica, Hispaniola, Cayman Islands, Cuba, Mexico, United States, Canada",https://en.wikipedia.org/wiki/Hurricane_Ivan
2004,"3,037",3,11400000000,JEANNE,"Guadeloupe, Virgin Islands, Puerto Rico, Dominican Republic, Haiti, Bahamas, United States, Canada",
2005,88,4,5500000000,DENNIS,"Haiti, Jamica, Cuba, United States",https://en.wikipedia.org/wiki/Hurricane_Dennis#Impact
2005,17,5,1400000000,EMILY,"Guyana, Grenada, Trinidad and Tobago, Venezuela, Puerto Rico, Hispaniola, Colombia, Jamaica, Cuba, Cayman Islands, Honduras, Belize, Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Emily_(2005)
2005,125,5,25700000000,RITA,"Dominican Republic, Turks and Caicos, Bahamas, Cuba, United States",https://en.wikipedia.org/wiki/Hurricane_Rita
2005,52,5,38100000000,WILMA,"Bahamas, Jamaica, Haiti, Mexico, Cuba, Bermuda, United States, Canada",https://en.wikipedia.org/wiki/Hurricane_Wilma
2005,9,3,21500000,BETA,"Panama, Colombia, Nicaragua, Honduras",https://en.wikipedia.org/wiki/Hurricane_Beta
2006,4,3,273500000,LANE,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Lane_(2006)
2006,5,4,82000000,JOHN,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_John_(2006)
2007,45,5,2100000000,DEAN,"Dominica, Guadeloupe, Martinique, Saint Lucia, Puerto Rico, Dominican Republic, Haiti, Jamaica, Cuba, Cayman Islands, Nicaragua, Honduras, Belize, Guatemala, Mexico",https://en.wikipedia.org/wiki/Hurricane_Dean
2007,133,5,943500000,FELIX,"Trinidad and Tobago, Saint Vincent, Barbados, Trinidad and Tobago, Venezuela, Grenada, St. Lucia, Curaçao, Colombia, Costa Rica, Nicaragua, Honduras, El Salvador, Belize, Guatemala, Mexico",
2008,25,4,124300000,NORBERT,Mexico,https://en.wikipedia.org/wiki/Hurricane_Norbert_(2008)#Impact
2008,214,4,47900000000,IKE,"Haiti, Dominican Republican, Turks and Caicos, The Bahamas, Cuba, United States",https://en.wikipedia.org/wiki/Hurricane_Ike#Impact
2008,153,4,10400000000,GUSTAV,"Haiti, Dominican Republic, Jamaica, Cayman Islands, Cuba, United States (East Coast)",https://en.wikipedia.org/wiki/Hurricane_Gustav#Jamaica_and_Cayman_Islands
2008,1,4,100900000,OMAR,"Aruba, Dominica, Antigua, St. Lucia, Barbuda,Venezuela, Puerto Rico",https://en.wikipedia.org/wiki/Hurricane_Omar#Impact
2008,1,4,573500000,PALOMA,"Nicaragua, Honduras, Cayman Islands, Jamaica, Cuba, The Bahamas, United States",https://en.wikipedia.org/wiki/Hurricane_Paloma#Impact
2009,2,4,58500000,BILL,"Puerto Rico, Dominican Republic, United States (East Coast), Bermuda, Canada, British Isles",https://en.wikipedia.org/wiki/Hurricane_Bill_(2009)#Impact
2009,7,4,267100000,JIMENA,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Jimena_(2009)
2009,4,5,18500000,RICK,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Rick_(2009)
2010,8,4,56100000,EARL,"Antigua and Barbuda, Guadeloupe, St. Martin, Sint Marteen, St. Kitss and Nevis, Puerto Rico, Bahamas, United States, Canada",https://en.wikipedia.org/wiki/Hurricane_Earl_(2010)#Impact
2010,22,3,4900000000,KARL,"Belize, Mexico",https://en.wikipedia.org/wiki/Hurricane_Karl#Impact
2011,58,3,17100000000,IRENE,"Dominican Republic, Haiti, Martinique, Guadeloupe, Antigua, Puerto Rico, Cuba, Turks and Caicos, Bahamas, United States (East Coast), Canada",https://en.wikipedia.org/wiki/Hurricane_Irene
2011,3,3,245900000,JOVA,Mexico,https://en.wikipedia.org/wiki/Hurricane_Jova_(2011)
2011,0,3,2700000,RINA,"Nicaragua, Honduras, Mexico, Cuba, United States",https://en.wikipedia.org/wiki/Hurricane_Rina
2012,0,3,18300000,PAUL,Mexico,https://en.wikipedia.org/wiki/Hurricane_Paul_(2012)
2012,72,3,4200000000,SANDY,"Bermuda, The Bahamas, Cuba, Dominican Republic, Haiti, Jamaica, Puerto Rico, United States (East Coast), Canada",https://en.wikipedia.org/wiki/Hurricane_Sandy
2013,0,3,0,RAYMOND,Mexico,https://en.wikipedia.org/wiki/Hurricane_Raymond_(2013)
2014,3,4,0,AMANDA,Mexico,https://en.wikipedia.org/wiki/Hurricane_Amanda
2014,6,5,22900000,MARIE,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Marie_(2014)
2014,5,3,32500000,NORBERT,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Norbert_(2014)
2014,18,4,1400000000,ODILE,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Odile
2014,6,4,363800000,GONZALO,"Antigua and Barbuda, Saint Kitts and Nevis, Saint Martin, Puerto Rico, Bermuda, Canada",https://en.wikipedia.org/wiki/Hurricane_Gonzalo
2015,4,4,153000,BLANCA,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Blanca_(2015)
2015,1,4,57800000,DOLORES,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Dolores_(2015)
2015,22,3,4100000,LINDA,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Linda_(2015)
2015,34,4,229300000,JOAQUIN,"Turks and Caicos Islands, The Bahamas, Bermuda, Cuba, Haiti, United States",https://en.wikipedia.org/wiki/Hurricane_Joaquin#Impact_and_aftermath
2015,13,5,530500000,PATRICIA,"Guatemala, El Salvador, Nicaragua, Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Patricia
2015,4,4,0,SANDRA,"El Salvador, Honduras, Nicaragua, Mexico",https://en.wikipedia.org/wiki/Hurricane_Sandra_(2015)#Preparations_and_impact
2016,603,5,18600000000,MATTHEW,"Saint Vincent and the Grenadines, Aruba, Curaçao, Venezuela, Colombia, Jamaica, Dominican Republic, Haiti, Puerto Rico, Cuba, Turks and Caicos Islands, The Bahamas, United States, Canada",https://en.wikipedia.org/wiki/Hurricane_Matthew
2016,23,3,217600000,OTTO,"Panama, Costa Rica, Nicaragua, Colombia",https://en.wikipedia.org/wiki/Hurricane_Otto#Impact
2017,134,5,85500000000,IRMA,"Cape Verde, Barbuda, Saint Barthélemy, Anguilla, Saint Martin, Saint Kitts and Nevis, Cuba, Haiti, Puerto Rico, Turks and Caicos Islands, Jamaica, The Bahamas, United States",https://en.wikipedia.org/wiki/Hurricane_Irma
2017,1,4,3100000,JOSE,"Barbuda, Saint Martin, The Bahamas, United States (East Coast), Canada",https://en.wikipedia.org/wiki/Hurricane_Jose_(2017)#Preparations_and_impact
2017,"3,059",5,101500000000,MARIA,"Dominica, Guadeloupe, Martinique, Saint Kitts and Nevis, Puerto Rico, Dominican Republic, Haiti, Turks and Caicos Islands, The Bahamas, United States",https://en.wikipedia.org/wiki/Hurricane_Maria#Impact_in_the_Lesser_Antilles
2018,2,4,0,BUD,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Bud_(2018)
2018,3,4,54600000,ROSA,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Rosa_(2018)
2018,0,4,2900000,SERGIO,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Sergio_(2018)
2018,74,5,27500000000,MICHAEL,"Honduras, Nicaragua, El Salvador, Mexico, Cayman Islands, Cuba, United States, Canada",https://en.wikipedia.org/wiki/Hurricane_Michael#Impact
2018,9,5,892200000,WILLA,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Willa
2019,84,5,5400000000,DORIAN,"Puerto Rico, the Bahamas, United States, Canada",https://en.wikipedia.org/wiki/Hurricane_Dorian
2020,6,4,52500000,GENEVIEVE,"Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Genevieve_(2020)
2020,81,4,20000000000,LAURA,"Guadeloupe, Dominica, Saint Kitts and Nevis, Dominican Republic, Cuba, Haiti, Jamaica, Cayman Islands, Puerto Rico, United States",https://en.wikipedia.org/wiki/Hurricane_Laura
2020,6,4,3200000000,DELTA,"Jamaica, Cayman Islands, Nicaragua, Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Delta#Preparations
2020,175,4,8700000000,ETA,"Colombia, Jamaica, Nicaragua, Honduras, El Salvador, Costa Rica, Panama, Guatemala, Belize, Mexico, Cayman Islands, Cuba, The Bahamas, United States",
2020,84,4,1400000000,IOTA,"Aruba, Bonaire, Curaçao,Colombia, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, Venezuela",https://en.wikipedia.org/wiki/Hurricane_Iota#Impact
2020,9,3,4600000000,ZETA,"Cayman Islands, Jamaica, Mexico, United States",https://en.wikipedia.org/wiki/Hurricane_Zeta
