city,year,month,aqi_high,aqi_avg,aqi_low,rainfall
BeijingInit,2016,1,349.0,158.9,43.2,0.8
BeijingInit,2016,2,206.1,118.2,32.3,9.6
BeijingInit,2016,3,362.5,169.7,41.7,0
BeijingInit,2016,4,196.0,156.7,25.5,8
BeijingInit,2016,5,204.8,142.5,59.5,41.7
BeijingInit,2016,6,188.2,143.6,38.2,96.8
BeijingInit,2016,7,188.7,151.4,47.9,299.9
BeijingInit,2016,8,163.4,108.8,32.1,66.7
BeijingInit,2016,9,205.3,140.6,22.9,73.1
BeijingInit,2016,10,283.2,159.5,37.0,75.4
BeijingInit,2016,11,332.3,176.3,35.5,9.8
BeijingInit,2016,12,421.6,197.0,77.8,0.1
Beijing,2016,1,349.0,158.9,43.2,0.8
Beijing,2016,2,206.1,118.2,32.3,9.6
Beijing,2016,3,362.5,169.7,41.7,0
Beijing,2016,4,196.0,156.7,25.5,8
Beijing,2016,5,204.8,142.5,59.5,41.7
Beijing,2016,6,188.2,143.6,38.2,96.8
Beijing,2016,7,188.7,151.4,47.9,299.9
Beijing,2016,8,163.4,108.8,32.1,66.7
Beijing,2016,9,205.3,140.6,22.9,73.1
Beijing,2016,10,283.2,159.5,37.0,75.4
Beijing,2016,11,332.3,176.3,35.5,9.8
Beijing,2016,12,421.6,197.0,77.8,0.1
Beijing,2015,1,417.1,179.0,47.4,0.4
Beijing,2015,2,335.2,172.5,37.3,7.0
Beijing,2015,3,277.8,168.5,31.4,2.0
Beijing,2015,4,217.1,163.1,62.3,33.5
Beijing,2015,5,191.2,152.3,52.2,38.4
Beijing,2015,6,208.1,144.0,27.6,66.2
Beijing,2015,7,178.1,151.4,75.9,182.1
Beijing,2015,8,178.7,121.2,45.0,82.1
Beijing,2015,9,194.0,132.0,31.8,116.3
Beijing,2015,10,352.7,160.6,21.7,14.7
Beijing,2015,11,442.1,187.7,57.8,44.5
Beijing,2015,12,501.0,202.0,25.3,2.7
Beijing,2014,1,465.7,183.4,42.7,0
Beijing,2014,2,466.5,225.0,29.7,5.1
Beijing,2014,3,367.8,179.3,42.4,3
Beijing,2014,4,287.9,171.7,74.7,15.9
Beijing,2014,5,192.8,159.7,68.5,39.7
Beijing,2014,6,193.9,152.6,51.9,116.6
Beijing,2014,7,267.4,168.3,56.1,69.9
Beijing,2014,8,199.4,155.0,58.8,69
Beijing,2014,9,195.4,158.6,37.2,81.9
Beijing,2014,10,419.2,195.0,28.3,19.1
Beijing,2014,11,378.6,176.5,27.3,0.2
Beijing,2014,12,406.4,164.5,37.5,0.2
Chengdu,2016,1,239.1,171.2,74.6,15.7
Chengdu,2016,2,204.1,165.9,89.7,17.4
Chengdu,2016,3,199.6,166.5,93.6,39.8
Chengdu,2016,4,207.4,158.6,85.7,74
Chengdu,2016,5,193.2,154.5,82.8,179.1
Chengdu,2016,6,184.4,146.3,90.0,163.7
Chengdu,2016,7,158.8,115.3,61.6,222.4
Chengdu,2016,8,157.3,128.1,67.7,109.2
Chengdu,2016,9,165.2,143.9,91.0,151
Chengdu,2016,10,182.0,152.6,55.8,58.8
Chengdu,2016,11,271.6,173.9,85.8,30.3
Chengdu,2016,12,253.3,186.8,101.4,8.8
Chengdu,2015,1,297.2,195.6,105.7,13.4
Chengdu,2015,2,228.5,172.3,94.0,8.6
Chengdu,2015,3,199.2,163.8,108.3,20.8
Chengdu,2015,4,183.5,154.7,58.0,57.2
Chengdu,2015,5,176.1,152.3,76.1,88.5
Chengdu,2015,6,172.1,131.3,70.2,156.3
Chengdu,2015,7,161.2,138.7,77.5,121.1
Chengdu,2015,8,171.3,137.8,54.6,202.4
Chengdu,2015,9,170.1,125.6,56.9,173.4
Chengdu,2015,10,191.7,159.6,72.0,61.7
Chengdu,2015,11,170.5,153.4,73.3,17.2
Chengdu,2015,12,338.8,176.7,112.9,14.7
Chengdu,2014,1,420.5,209.5,122.1,4
Chengdu,2014,2,217.1,174.7,79.5,17.1
Chengdu,2014,3,209.6,166.3,89.7,39.3
Chengdu,2014,4,190.2,155.9,75.2,52.5
Chengdu,2014,5,196.9,164.9,95.1,61.9
Chengdu,2014,6,193.8,154.7,97.3,173.5
Chengdu,2014,7,174.9,151.6,79.0,149.2
Chengdu,2014,8,165.6,152.0,92.8,217.5
Chengdu,2014,9,174.7,134.0,67.7,151.9
Chengdu,2014,10,260.7,165.3,75.9,79.6
Chengdu,2014,11,188.9,158.0,80.8,21.6
Chengdu,2014,12,269.3,175.5,101.6,7.2
Guangzhou,2016,1,185.3,98.6,45.8,314.9
Guangzhou,2016,2,166.8,105.8,27.4,45.4
Guangzhou,2016,3,209.4,139.6,37.0,203.9
Guangzhou,2016,4,183.8,115.0,53.7,266.3
Guangzhou,2016,5,133.7,81.7,29.2,235.4
Guangzhou,2016,6,151.4,72.1,28.1,276.6
Guangzhou,2016,7,130.9,66.7,18.4,169.4
Guangzhou,2016,8,154.6,87.7,1.0,341.2
Guangzhou,2016,9,127.3,73.2,27.1,153.6
Guangzhou,2016,10,112.8,71.9,10.2,162.9
Guangzhou,2016,11,169.3,108.6,18.8,124.8
Guangzhou,2016,12,168.5,134.0,64.0,13.8
Guangzhou,2015,1,221.2,159.1,59.3,63.7
Guangzhou,2015,2,193.0,157.1,71.2,29.7
Guangzhou,2015,3,181.4,114.5,54.2,36.2
Guangzhou,2015,4,184.5,111.9,47.9,85.8
Guangzhou,2015,5,172.8,87.2,54.2,472.3
Guangzhou,2015,6,117.3,63.3,41.7,169.4
Guangzhou,2015,7,158.0,73.6,46.5,270.2
Guangzhou,2015,8,151.3,92.6,42.2,178.5
Guangzhou,2015,9,156.7,106.3,63.6,158.7
Guangzhou,2015,10,172.6,117.1,46.4,158
Guangzhou,2015,11,156.1,109.1,39.8,52.7
Guangzhou,2015,12,179.2,108.0,31.8,140.3
Guangzhou,2014,1,203.5,166.9,107.6,1
Guangzhou,2014,2,193.8,132.5,37.2,45.6
Guangzhou,2014,3,189.9,151.0,71.0,160.9
Guangzhou,2014,4,166.6,129.9,0.0,139.5
Guangzhou,2014,5,177.1,119.5,66.6,425.8
Guangzhou,2014,6,254.0,155.1,19.1,271.5
Guangzhou,2014,7,157.2,80.0,20.0,163.8
Guangzhou,2014,8,152.5,78.9,39.6,208
Guangzhou,2014,9,160.0,93.2,37.5,113
Guangzhou,2014,10,172.3,143.8,84.8,22.3
Guangzhou,2014,11,166.4,145.6,32.8,45.4
Guangzhou,2014,12,186.9,154.0,51.1,53.3
Shanghai,2016,1,210.7,159.8,72.5,79.2
Shanghai,2016,2,193.7,152.1,77.9,24
Shanghai,2016,3,174.7,151.1,63.5,52.6
Shanghai,2016,4,178.7,151.3,79.0,167
Shanghai,2016,5,168.3,133.1,63.4,150.1
Shanghai,2016,6,168.1,99.8,59.2,308.2
Shanghai,2016,7,157.1,98.5,41.0,116.7
Shanghai,2016,8,115.8,68.1,25.5,52.2
Shanghai,2016,9,157.3,84.3,6.3,247.9
Shanghai,2016,10,118.3,68.5,0.0,271.1
Shanghai,2016,11,181.1,136.7,59.3,66.6
