year,importer1,importer2,flow2,flow1,category
2005,USA,Netherlands,2149.814,1116.095,all
2005,USA,Germany,1255.668,1549.430,all
2005,USA,France,2975.265,819.803,all
2005,USA,Brazil,2098.688,187.897,all
2005,USA,China,3447.459,3833.829,all
2005,USA,Spain,1101.859,1059.851,all
2005,USA,Canada,15219.335,10557.998,all
2005,USA,Italy,2837.579,637.950,all
2005,USA,UK,1712.663,1452.853,all
2005,USA,Japan,578.285,11637.708,all
2005,USA,Russia,229.109,939.652,all
2005,USA,Rest of the World,41058.412,31440.136,all
2005,Netherlands,Germany,6682.854,11523.646,all
2005,Netherlands,France,2598.280,5454.115,all
2005,Netherlands,Brazil,3096.011,65.526,all
2005,Netherlands,China,495.158,236.323,all
2005,Netherlands,Spain,1312.116,1986.483,all
2005,Netherlands,Canada,95.781,243.850,all
2005,Netherlands,Italy,719.941,3984.802,all
2005,Netherlands,UK,954.612,6521.453,all
2005,Netherlands,Japan,35.060,473.090,all
2005,Netherlands,Russia,25.914,786.709,all
2005,Netherlands,Rest of the World,10984.672,13587.519,all
2005,Germany,France,6132.569,4674.586,all
2005,Germany,Brazil,1934.949,73.985,all
2005,Germany,China,1017.923,96.601,all
2005,Germany,Spain,3736.209,2887.507,all
2005,Germany,Canada,180.395,159.217,all
2005,Germany,Italy,5327.146,5567.071,all
2005,Germany,UK,1179.782,3566.123,all
2005,Germany,Japan,37.065,429.937,all
2005,Germany,Russia,123.686,1134.773,all
2005,Germany,Rest of the World,21277.255,17161.764,all
2005,France,Brazil,1167.204,78.208,all
2005,France,China,345.456,371.999,all
2005,France,Spain,5402.881,4372.234,all
2005,France,Canada,155.233,522.395,all
2005,France,Italy,3025.348,5380.949,all
2005,France,UK,2273.455,5544.028,all
2005,France,Japan,30.728,1371.068,all
2005,France,Russia,39.667,526.784,all
2005,France,Rest of the World,10426.116,12294.729,all
2005,Brazil,China,69.840,2308.877,all
2005,Brazil,Spain,74.120,1040.281,all
2005,Brazil,Canada,33.248,406.817,all
2005,Brazil,Italy,60.453,1033.816,all
2005,Brazil,UK,71.090,1100.448,all
2005,Brazil,Japan,10.665,1450.809,all
2005,Brazil,Russia,0.314,2661.838,all
2005,Brazil,Rest of the World,2720.110,14019.799,all
2005,China,Spain,84.691,448.626,all
2005,China,Canada,1180.872,572.579,all
2005,China,Italy,32.366,292.094,all
2005,China,UK,197.590,434.216,all
2005,China,Japan,385.134,8402.955,all
2005,China,Russia,191.776,628.200,all
2005,China,Rest of the World,11230.847,11610.297,all
2005,Spain,Canada,213.883,141.235,all
2005,Spain,Italy,1291.112,3364.797,all
2005,Spain,UK,1913.736,2668.959,all
2005,Spain,Japan,14.706,363.573,all
2005,Spain,Russia,58.960,316.027,all
2005,Spain,Rest of the World,11068.993,8628.816,all
2005,Canada,Italy,460.836,222.695,all
2005,Canada,UK,304.365,369.385,all
2005,Canada,Japan,48.931,2832.400,all
2005,Canada,Russia,49.321,99.145,all
2005,Canada,Rest of the World,4216.783,5103.136,all
2005,Italy,UK,764.809,2440.550,all
2005,Italy,Japan,11.657,618.634,all
2005,Italy,Russia,140.070,361.801,all
2005,Italy,Rest of the World,11750.735,7853.659,all
2005,UK,Japan,31.309,356.820,all
2005,UK,Russia,104.095,210.428,all
2005,UK,Rest of the World,18315.312,9371.984,all
2005,Japan,Russia,465.613,19.434,all
2005,Japan,Rest of the World,21424.313,1656.155,all
2005,Russia,Rest of the World,10585.956,4275.344,all
2005,Rest of the World,Rest of the World,133358.562,133358.562,all
2006,USA,Netherlands,2420.028,1369.210,all
2006,USA,Germany,1385.119,1733.838,all
2006,USA,France,3424.415,865.835,all
2006,USA,Brazil,3235.845,206.808,all
2006,USA,China,4403.070,4147.970,all
2006,USA,Spain,1195.474,930.294,all
2006,USA,Canada,16462.942,11825.805,all
2006,USA,Italy,3064.396,596.266,all
2006,USA,Argentina,949.680,73.399,all
2006,USA,Japan,611.071,11230.813,all
2006,USA,UK,1821.893,1523.649,all
2006,USA,Russia,286.449,1024.224,all
2006,USA,Rest of the World,43732.299,35665.121,all
2006,Netherlands,Germany,7235.234,12879.648,all
2006,Netherlands,France,2946.368,5842.813,all
2006,Netherlands,Brazil,2993.799,69.654,all
2006,Netherlands,China,723.432,262.862,all
2006,Netherlands,Spain,1393.939,2045.202,all
2006,Netherlands,Canada,232.601,253.352,all
2006,Netherlands,Italy,778.001,4368.814,all
2006,Netherlands,Argentina,1160.103,15.969,all
2006,Netherlands,Japan,36.312,512.411,all
2006,Netherlands,UK,1107.229,6989.780,all
2006,Netherlands,Russia,39.040,1089.594,all
2006,Netherlands,Rest of the World,11004.460,14843.661,all
2006,Germany,France,6495.570,5062.546,all
2006,Germany,Brazil,2121.118,80.264,all
2006,Germany,China,1278.341,132.772,all
2006,Germany,Spain,3798.682,2837.345,all
2006,Germany,Canada,337.511,182.027,all
2006,Germany,Italy,5623.290,5738.923,all
2006,Germany,Argentina,579.862,14.986,all
2006,Germany,Japan,36.668,536.024,all
2006,Germany,UK,1284.058,3695.256,all
2006,Germany,Russia,159.726,1475.243,all
2006,Germany,Rest of the World,23398.614,19478.940,all
2006,France,Brazil,1020.045,106.814,all
2006,France,China,438.402,335.205,all
2006,France,Spain,5853.685,4461.007,all
2006,France,Canada,169.108,591.077,all
2006,France,Italy,3218.311,5794.260,all
2006,France,Argentina,465.693,21.484,all
2006,France,Japan,44.233,1500.124,all
2006,France,UK,2405.341,5977.231,all
2006,France,Russia,62.142,679.237,all
2006,France,Rest of the World,10640.552,13609.096,all
2006,Brazil,China,88.450,2807.054,all
2006,Brazil,Spain,81.282,1025.351,all
2006,Brazil,Canada,44.449,504.803,all
2006,Brazil,Italy,74.001,1121.878,all
2006,Brazil,Argentina,1941.421,337.304,all
2006,Brazil,Japan,7.009,1255.270,all
2006,Brazil,UK,84.992,1036.115,all
2006,Brazil,Russia,4.510,3084.278,all
2006,Brazil,Rest of the World,1546.815,16061.377,all
2006,China,Spain,101.978,528.325,all
2006,China,Canada,719.370,669.545,all
2006,China,Italy,61.321,311.148,all
2006,China,Argentina,2206.567,16.427,all
2006,China,Japan,447.721,8495.810,all
2006,China,UK,204.438,544.980,all
2006,China,Russia,274.437,849.932,all
2006,China,Rest of the World,10234.229,13330.402,all
2006,Spain,Canada,181.101,162.088,all
2006,Spain,Italy,1337.779,3493.481,all
2006,Spain,Argentina,1393.879,11.808,all
2006,Spain,Japan,12.394,360.960,all
2006,Spain,UK,1830.254,2839.807,all
2006,Spain,Russia,96.732,437.751,all
2006,Spain,Rest of the World,10406.954,9705.955,all
2006,Canada,Italy,568.908,235.800,all
2006,Canada,Argentina,114.328,5.269,all
2006,Canada,Japan,53.958,2573.629,all
2006,Canada,UK,322.213,411.264,all
2006,Canada,Russia,71.146,211.338,all
2006,Canada,Rest of the World,4706.121,6546.254,all
2006,Italy,Argentina,837.911,15.021,all
2006,Italy,Japan,10.221,665.618,all
2006,Italy,UK,837.927,2558.616,all
2006,Italy,Russia,167.113,437.266,all
2006,Italy,Rest of the World,12756.591,8844.925,all
2006,Argentina,Japan,2.702,183.222,all
2006,Argentina,UK,15.684,377.080,all
2006,Argentina,Russia,0.067,868.451,all
2006,Argentina,Rest of the World,405.052,9934.029,all
2006,Japan,UK,329.475,36.276,all
2006,Japan,Russia,441.722,22.804,all
2006,Japan,Rest of the World,20600.090,1828.356,all
2006,UK,Russia,79.850,258.291,all
2006,UK,Rest of the World,19367.258,10120.700,all
2006,Russia,Rest of the World,11819.723,5233.153,all
2006,Rest of the World,Rest of the World,139901.887,139901.887,all
2007,USA,Netherlands,2592.298,1486.581,all
2007,USA,Germany,1436.788,1854.287,all
2007,USA,France,3671.120,912.807,all
2007,USA,Brazil,3052.908,345.470,all
2007,USA,China,5104.974,6457.219,all
2007,USA,Spain,1293.064,1469.820,all
2007,USA,Canada,18218.328,14082.526,all
2007,USA,Italy,3318.865,796.231,all
2007,USA,Argentina,1018.635,90.097,all
2007,USA,UK,2080.158,1721.319,all
2007,USA,Japan,649.854,14364.128,all
2007,USA,Russia,338.300,1415.213,all
2007,USA,Rest of the World,47379.717,46717.428,all
2007,Netherlands,Germany,8365.110,14070.270,all
2007,Netherlands,France,4004.297,6701.545,all
2007,Netherlands,Brazil,4234.365,98.253,all
2007,Netherlands,China,804.932,294.921,all
2007,Netherlands,Spain,1668.582,2675.617,all
2007,Netherlands,Canada,216.070,300.319,all
2007,Netherlands,Italy,937.429,5054.859,all
2007,Netherlands,Argentina,1415.940,19.552,all
2007,Netherlands,UK,1348.172,8714.434,all
2007,Netherlands,Japan,43.534,608.594,all
2007,Netherlands,Russia,69.856,1441.931,all
2007,Netherlands,Rest of the World,14035.515,18418.886,all
2007,Germany,France,7247.329,5985.797,all
2007,Germany,Brazil,2620.762,113.884,all
2007,Germany,China,1620.495,160.702,all
2007,Germany,Spain,3989.630,2969.791,all
2007,Germany,Canada,382.025,219.484,all
2007,Germany,Italy,6255.462,6864.393,all
2007,Germany,Argentina,701.506,22.029,all
2007,Germany,UK,1575.869,4561.066,all
2007,Germany,Japan,41.186,666.194,all
2007,Germany,Russia,170.861,1736.363,all
2007,Germany,Rest of the World,28015.010,24138.605,all
2007,France,Brazil,1454.164,109.057,all
2007,France,China,546.784,684.626,all
2007,France,Spain,6580.377,5451.173,all
2007,France,Canada,221.432,657.900,all
2007,France,Italy,3814.645,6619.722,all
2007,France,Argentina,470.047,26.066,all
2007,France,UK,2775.100,6899.219,all
2007,France,Japan,44.497,1605.973,all
2007,France,Russia,69.053,939.008,all
2007,France,Rest of the World,12810.952,16230.397,all
2007,Brazil,China,116.377,3583.955,all
2007,Brazil,Spain,91.636,1898.885,all
2007,Brazil,Canada,131.924,572.327,all
2007,Brazil,Italy,90.850,1412.168,all
2007,Brazil,Argentina,2544.137,434.798,all
2007,Brazil,UK,96.778,1342.537,all
2007,Brazil,Japan,6.887,1489.448,all
2007,Brazil,Russia,8.223,3381.763,all
2007,Brazil,Rest of the World,2139.307,19502.118,all
2007,China,Spain,130.507,653.581,all
2007,China,Canada,1086.732,761.659,all
2007,China,Italy,88.247,465.077,all
2007,China,Argentina,4364.190,27.126,all
2007,China,UK,185.480,653.199,all
2007,China,Japan,426.969,8382.691,all
