originregion_name,originregion_id,destinationregion_name,destinationregion_id,origin_name,origin_iso,destination_name,destination_iso,countryflow_2014,regionflow_2014
Northern Africa & Western Asia,9,Eastern & Middle Africa,6,Morocco,MAR,Angola,AGO,4057609,133324365.8
Northern Africa & Western Asia,9,Northern Africa & Western Asia,9,Morocco,MAR,United Arab Emirates,ARE,2722335,5021976106
Northern Africa & Western Asia,9,South America,4,Morocco,MAR,Argentina,ARG,44181.69,26228411.68
Northern Africa & Western Asia,9,OECD,1,Morocco,MAR,Australia,AUS,334046.64,2101711514
Northern Africa & Western Asia,9,OECD,1,Morocco,MAR,Austria,AUT,304490.38,2101711514
Northern Africa & Western Asia,9,Western Africa,8,Morocco,MAR,Benin,BEN,17001733.55,142129067.5
Northern Africa & Western Asia,9,Western Africa,8,Morocco,MAR,Burkina Faso,BFA,2863523.07,142129067.5
Northern Africa & Western Asia,9,South Asia,5,Morocco,MAR,Bangladesh,BGD,,100863325.5
Northern Africa & Western Asia,9,Eastern Europe & Central Asia,10,Morocco,MAR,Bulgaria,BGR,261399.05,267360277.9
Northern Africa & Western Asia,9,Northern Africa & Western Asia,9,Morocco,MAR,Bahrain,BHR,1351013.65,5021976106
Northern Africa & Western Asia,9,Rest of World,13,Morocco,MAR,Bosnia and Herzegovina,BIH,41940,21719635.38
Northern Africa & Western Asia,9,Eastern Europe & Central Asia,10,Morocco,MAR,Belarus,BLR,28518,267360277.9
Northern Africa & Western Asia,9,Central America,11,Morocco,MAR,Belize,BLZ,,70482.75
Northern Africa & Western Asia,9,Rest of World,13,Morocco,MAR,Bermuda,BMU,7043,21719635.38
Northern Africa & Western Asia,9,South America,4,Morocco,MAR,Brazil,BRA,20114704.4,26228411.68
Northern Africa & Western Asia,9,Eastern & Middle Africa,6,Morocco,MAR,Central African Republic,CAF,111966.87,133324365.8
Northern Africa & Western Asia,9,OECD,1,Morocco,MAR,Canada,CAN,3278118.82,2101711514
Northern Africa & Western Asia,9,OECD,1,Morocco,MAR,Switzerland,CHE,940690.82,2101711514
Northern Africa & Western Asia,9,OECD,1,Morocco,MAR,Chile,CHL,34396.7,2101711514
Northern Africa & Western Asia,9,East Asia,2,Morocco,MAR,China,CHN,6403996.59,163363859.1
Northern Africa & Western Asia,9,Western Africa,8,Morocco,MAR,Cote dIvoire (IvoryCoast),CIV,35221657.03,142129067.5
Northern Africa & Western Asia,9,Eastern & Middle Africa,6,Morocco,MAR,Cameroon,CMR,8288220.46,133324365.8
Northern Africa & Western Asia,9,Eastern & Middle Africa,6,Morocco,MAR,Democratic Republic of the Congo,COD,575570,133324365.8
Northern Africa & Western Asia,9,Eastern & Middle Africa,6,Morocco,MAR,Congo,COG,2982401.11,133324365.8
Northern Africa & Western Asia,9,South America,4,Morocco,MAR,Colombia,COL,70147.01,26228411.68
Northern Africa & Western Asia,9,Western Africa,8,Morocco,MAR,Cape Verde,CPV,134982,142129067.5
Northern Africa & Western Asia,9,Northern Africa & Western Asia,9,Morocco,MAR,Cyprus,CYP,524568.93,5021976106
Northern Africa & Western Asia,9,Eastern Europe & Central Asia,10,Morocco,MAR,Czech Republic,CZE,173734,267360277.9
Northern Africa & Western Asia,9,OECD,1,Morocco,MAR,Germany,DEU,2587202.24,2101711514
Northern Africa & Western Asia,9,OECD,1,Morocco,MAR,Denmark,DNK,1964148,2101711514
Northern Africa & Western Asia,9,Northern Africa & Western Asia,9,Morocco,MAR,Algeria,DZA,2739627.59,5021976106
Northern Africa & Western Asia,9,South America,4,Morocco,MAR,Ecuador,ECU,80832.8,26228411.68
Northern Africa & Western Asia,9,Northern Africa & Western Asia,9,Morocco,MAR,Egypt,EGY,1651390.41,5021976106
Northern Africa & Western Asia,9,OECD,1,Morocco,MAR,Spain,ESP,529831546,2101711514
Northern Africa & Western Asia,9,OECD,1,Morocco,MAR,Estonia,EST,805812.1,2101711514
Northern Africa & Western Asia,9,Eastern & Middle Africa,6,Morocco,MAR,Ethiopia,ETH,1644,133324365.8
Northern Africa & Western Asia,9,OECD,1,Morocco,MAR,Finland,FIN,25937,2101711514
Northern Africa & Western Asia,9,Rest of World,13,Morocco,MAR,Fiji,FJI,407166,21719635.38
Northern Africa & Western Asia,9,OECD,1,Morocco,MAR,France,FRA,51629324.06,2101711514
Northern Africa & Western Asia,9,Eastern & Middle Africa,6,Morocco,MAR,Gabon,GAB,1743020,133324365.8
Northern Africa & Western Asia,9,OECD,1,Morocco,MAR,United Kingdom,GBR,2514734.35,2101711514
Northern Africa & Western Asia,9,Western Africa,8,Morocco,MAR,Ghana,GHA,13949070,142129067.5
Northern Africa & Western Asia,9,Western Africa,8,Morocco,MAR,Guinea,GIN,234312.6,142129067.5
Northern Africa & Western Asia,9,Western Africa,8,Morocco,MAR,"Gambia, The",GMB,10439.33,142129067.5
Northern Africa & Western Asia,9,Eastern & Middle Africa,6,Morocco,MAR,Equatorial Guinea,GNQ,925113,133324365.8
Northern Africa & Western Asia,9,OECD,1,Morocco,MAR,Greece,GRC,12309082.18,2101711514
Northern Africa & Western Asia,9,Rest of World,13,Morocco,MAR,Greenland,GRL,,21719635.38
Northern Africa & Western Asia,9,Central America,11,Morocco,MAR,Guatemala,GTM,,70482.75
Northern Africa & Western Asia,9,East Asia,2,Morocco,MAR,Hong Kong,HKG,2563256.46,163363859.1
Northern Africa & Western Asia,9,Rest of World,13,Morocco,MAR,Croatia,HRV,16584.97,21719635.38
Northern Africa & Western Asia,9,Caribbean,12,Morocco,MAR,Haiti,HTI,897741,3862390.55
Northern Africa & Western Asia,9,Eastern Europe & Central Asia,10,Morocco,MAR,Hungary,HUN,,267360277.9
Northern Africa & Western Asia,9,Southeast Asia,3,Morocco,MAR,Indonesia,IDN,124879.49,140284179.1
Northern Africa & Western Asia,9,South Asia,5,Morocco,MAR,India,IND,570620.28,100863325.5
Northern Africa & Western Asia,9,OECD,1,Morocco,MAR,Ireland,IRL,9017.29,2101711514
Northern Africa & Western Asia,9,South Asia,5,Morocco,MAR,Iran,IRN,,100863325.5
Northern Africa & Western Asia,9,Northern Africa & Western Asia,9,Morocco,MAR,Iraq,IRQ,5147426,5021976106
Northern Africa & Western Asia,9,OECD,1,Morocco,MAR,Iceland,ISL,,2101711514
Northern Africa & Western Asia,9,OECD,1,Morocco,MAR,Italy,ITA,126166693.8,2101711514
Northern Africa & Western Asia,9,Northern Africa & Western Asia,9,Morocco,MAR,Jordan,JOR,5874354.98,5021976106
Northern Africa & Western Asia,9,OECD,1,Morocco,MAR,Japan,JPN,142619403.3,2101711514
Northern Africa & Western Asia,9,Eastern Europe & Central Asia,10,Morocco,MAR,Kazakhstan,KAZ,1030936.23,267360277.9
Northern Africa & Western Asia,9,East Asia,2,Morocco,MAR,South Korea,KOR,5383494.13,163363859.1
