year,importer1,importer2,flow2,flow1,category
2005,United States of America,Netherlands,565.432,548.89,vegetables
2005,United States of America,Spain,356.729,692.821,vegetables
2005,United States of America,Brazil,766.903,60.131,vegetables
2005,United States of America,France,166.174,375.568,vegetables
2005,United States of America,Argentina,215.1,33.033,vegetables
2005,United States of America,China,663.36,2895.792,vegetables
2005,United States of America,Canada,3130.844,3980.301,vegetables
2005,United States of America,Germany,412.165,822.337,vegetables
2005,United States of America,Italy,737.59,434.754,vegetables
2005,United States of America,Japan,86.992,5516.675,vegetables
2005,United States of America,United Kingdom,88.024,465.488,vegetables
2005,United States of America,Rest of the World,14844.603,16038.106,vegetables
2005,Netherlands,Spain,945.102,433.045,vegetables
2005,Netherlands,Brazil,1470.164,19.181,vegetables
2005,Netherlands,France,1176.611,1510.82,vegetables
2005,Netherlands,Argentina,404.919,4.386,vegetables
2005,Netherlands,China,271.904,57.857,vegetables
2005,Netherlands,Canada,59.798,110.118,vegetables
2005,Netherlands,Germany,1647.168,4801.106,vegetables
2005,Netherlands,Italy,250.998,750.017,vegetables
2005,Netherlands,Japan,16.111,168.962,vegetables
2005,Netherlands,United Kingdom,209.003,2799.013,vegetables
2005,Netherlands,Rest of the World,4764.138,4960.399,vegetables
2005,Spain,Brazil,673.925,49.483,vegetables
2005,Spain,France,1576.554,2626.54,vegetables
2005,Spain,Argentina,269.151,4.383,vegetables
2005,Spain,China,96.909,11.859,vegetables
2005,Spain,Canada,170.279,48.711,vegetables
2005,Spain,Germany,435.477,2429.146,vegetables
2005,Spain,Italy,382.959,1593.519,vegetables
2005,Spain,Japan,3.492,90.174,vegetables
2005,Spain,United Kingdom,365.84,1733.173,vegetables
2005,Spain,Rest of the World,2925.7,3340.072,vegetables
2005,Brazil,France,37.055,241.607,vegetables
2005,Brazil,Argentina,1031.15,85.345,vegetables
2005,Brazil,China,50.307,1921.669,vegetables
2005,Brazil,Canada,25.785,80.427,vegetables
2005,Brazil,Germany,53.288,980.06,vegetables
2005,Brazil,Italy,21.611,673.357,vegetables
2005,Brazil,Japan,4.081,383.227,vegetables
2005,Brazil,United Kingdom,4.821,331.108,vegetables
2005,Brazil,Rest of the World,627.095,3414.507,vegetables
2005,France,Argentina,110.953,11.532,vegetables
2005,France,China,146.035,105.311,vegetables
2005,France,Canada,38.815,25.235,vegetables
2005,France,Germany,691.275,1474.842,vegetables
2005,France,Italy,889.762,1177.14,vegetables
2005,France,Japan,8.443,97.696,vegetables
