originregion_name,originregion_id,destinationregion_name,destinationregion_id,origin_name,origin_iso,destination_name,destination_iso,countryflow_2014,regionflow_2014
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Algeria,DZA,29948,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Australia,AUS,1376168,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Austria,AUT,6175,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Azerbaijan,AZE,,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Bahrain,BHR,121149,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Belarus,BLR,1335602,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Brunei,BRN,1828,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Cameroon,CMR,2500,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Czech Republic,CZE,270930,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Denmark,DNK,100020,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Dominican Republic,DOM,19329,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Egypt,EGY,358560,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Estonia,EST,21472,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Finland,FIN,112010,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Greece,GRC,46963,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Greenland,GRL,6331,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Guatemala,GTM,,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Iran,IRN,18072148,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Israel,ISR,112000,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Jordan,JOR,2603977,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Kazakhstan,KAZ,2464507,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Kuwait,KWT,26818,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Latvia,LVA,548340,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Lebanon,LBN,1178933,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Lithuania,LTU,5051,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Mexico,MEX,7027,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Moldova,MDA,81550,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Mozambique,MOZ,7248,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,New Zealand,NZL,135988,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Norway,NOR,5125,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Pakistan,PAK,99436695,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Philippines,PHL,47961,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Poland,POL,131527,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Qatar,QAT,58858,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Romania,ROU,2184,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Russia,RUS,11020717,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Senegal,SEN,1013456,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Slovenia,SVN,17682,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,South Korea,KOR,,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Sri Lanka,LKA,16211,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Sweden,SWE,22494,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Switzerland,CHE,32701,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Thailand,THA,,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Turkey,TUR,1596594,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Ukraine,UKR,980852,120000000000
Rest of the World,16,Rest of the World,16,Afghanistan,AFG,Yemen,YEM,43117,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Argentina,ARG,11411,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Australia,AUS,206154,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Austria,AUT,681587,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Azerbaijan,AZE,1800,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Bahrain,BHR,2117,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Belarus,BLR,11076003,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Bolivia,BOL,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Bosnia and Herzegovina,BIH,659307,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Bulgaria,BGR,3669409,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Cameroon,CMR,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Chile,CHL,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Colombia,COL,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Costa Rica,CRI,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Cote dIvoire (IvoryCoast),CIV,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Croatia,HRV,1026930,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Czech Republic,CZE,1319605,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Denmark,DNK,844330,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Dominican Republic,DOM,1777,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Ecuador,ECU,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Egypt,EGY,118214,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Ethiopia,ETH,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Finland,FIN,3692,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Greece,GRC,1903848,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Honduras,HND,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Hungary,HUN,382037,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Iran,IRN,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Ireland,IRL,2470,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Israel,ISR,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Jordan,JOR,62371,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Kazakhstan,KAZ,50868,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Kuwait,KWT,2135,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Latvia,LVA,55828,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Lebanon,LBN,10166,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Lithuania,LTU,106515,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Macedonia,MKD,1942549,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Mauritius,MUS,3563,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Mexico,MEX,58424,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Moldova,MDA,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Montenegro,MNE,3680524,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Morocco,MAR,49494,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Mozambique,MOZ,1847,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,New Zealand,NZL,6799,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Nicaragua,NIC,13862,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Nigeria,NGA,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Norway,NOR,1148,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Pakistan,PAK,3650,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Poland,POL,1621204,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Portugal,PRT,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Romania,ROU,782602,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Russia,RUS,5786413,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Senegal,SEN,651827,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Serbia,SRB,5708386,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Singapore,SGP,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Slovak Republic,SVK,241500,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Slovenia,SVN,151878,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,South Africa,ZAF,163803,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,South Korea,KOR,10393,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Sri Lanka,LKA,83126,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Sweden,SWE,18410,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Switzerland,CHE,731499,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Tanzania,TZA,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Thailand,THA,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Turkey,TUR,3166633,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Uganda,UGA,,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Ukraine,UKR,284685,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Uruguay,URY,18682,120000000000
Rest of the World,16,Rest of the World,16,Albania,ALB,Vietnam,VNM,,120000000000
Rest of the World,16,Rest of the World,16,Algeria,DZA,Afghanistan,AFG,,120000000000
Rest of the World,16,Rest of the World,16,Algeria,DZA,Angola,AGO,12260,120000000000
Rest of the World,16,Rest of the World,16,Algeria,DZA,Antigua and Barbuda,ATG,,120000000000
Rest of the World,16,Rest of the World,16,Algeria,DZA,Argentina,ARG,,120000000000
Rest of the World,16,Rest of the World,16,Algeria,DZA,Australia,AUS,12996,120000000000
Rest of the World,16,Rest of the World,16,Algeria,DZA,Austria,AUT,712200,120000000000
Rest of the World,16,Rest of the World,16,Algeria,DZA,Azerbaijan,AZE,76501,120000000000
Rest of the World,16,Rest of the World,16,Algeria,DZA,Bahrain,BHR,29271,120000000000
Rest of the World,16,Rest of the World,16,Algeria,DZA,Bangladesh,BGD,112254,120000000000
Rest of the World,16,Rest of the World,16,Algeria,DZA,Bolivia,BOL,,120000000000
Rest of the World,16,Rest of the World,16,Algeria,DZA,Bosnia and Herzegovina,BIH,20239,120000000000
