region,id,country,value,year,group,subregion
Europe,GBR,United Kingdom,100,2005,5,Northern Europe
Asia,MNG,Mongolia,200,2005,1,Eastern Asia
Americas,CAN,Canada,250,2005,5,North America
Asia,SYR,Syrian Arab Republic,290,2005,2,Western Asia
Oceania,AUS,Australia,320,2005,5,Australia and New Zealand
Americas,CUB,Cuba,500,2005,2,North America
Americas,CHL,Chile,550,2005,3,South America
Oceania,PNG,Papua New Guinea,670,2005,1,Melanesia
Americas,ECU,Ecuador,1420,2005,2,South America
Americas,USA,United States,1740,2005,5,North America
Asia,KAZ,Kazakhstan,4200,2005,2,Central Asia
Asia,IDN,Indonesia,100,2006,2,South-Eastern Asia
Europe,NLD,Netherlands,100,2006,5,Western Europe
Americas,CAN,Canada,110,2006,5,North America
Asia,JPN,Japan,110,2006,5,Eastern Asia
Africa,ZAF,South Africa,230,2006,3,Southern Africa
Africa,ZMB,Zambia,310,2006,1,Eastern Africa
Americas,COL,Colombia,430,2006,2,South America
Europe,FRA,France,480,2006,5,Western Europe
Africa,AGO,Angola,740,2006,2,Middle Africa
Europe,GBR,United Kingdom,800,2006,5,Northern Europe
Africa,EGY,"Egypt, Arab Rep.",940,2006,2,Northern Africa
Asia,SGP,Singapore,970,2006,4,South-Eastern Asia
Asia,KAZ,Kazakhstan,1910,2006,3,Central Asia
Africa,COD,"Congo, Dem. Rep.",2000,2006,1,Middle Africa
Africa,NGA,Nigeria,2270,2006,1,Western Africa
Oceania,AUS,Australia,2920,2006,5,Australia and New Zealand
Europe,RUS,Russian Federation,5410,2006,3,Eastern Europe
Americas,MEX,Mexico,100,2007,3,Central America
Africa,ZWE,Zimbabwe,100,2007,1,Eastern Africa
Europe,DEU,Germany,130,2007,5,Western Europe
Europe,NLD,Netherlands,140,2007,5,Western Europe
Africa,EGY,"Egypt, Arab Rep.",150,2007,2,Northern Africa
Africa,TCD,Chad,200,2007,1,Middle Africa
Oceania,AUS,Australia,430,2007,5,Australia and New Zealand
Asia,PAK,Pakistan,460,2007,1,Southern Asia
Asia,IND,India,500,2007,2,Southern Asia
Europe,FRA,France,700,2007,5,Western Europe
Asia,SAU,Saudi Arabia,1200,2007,4,Western Asia
Americas,PER,Peru,1430,2007,2,South America
Asia,IRN,"Iran, Islamic Rep.",2010,2007,2,Southern Asia
Europe,BEL,Belgium,2700,2007,5,Western Europe
Asia,AFG,Afghanistan,2870,2007,1,Southern Asia
Europe,GBR,United Kingdom,3040,2007,5,Northern Europe
Africa,ZAF,South Africa,5600,2007,3,Southern Africa
Americas,USA,United States,8600,2007,5,North America
Africa,LBR,Liberia,110,2008,1,Western Africa
Asia,IDN,Indonesia,130,2008,2,South-Eastern Asia
Europe,DEU,Germany,140,2008,5,Western Europe
Asia,MNG,Mongolia,150,2008,2,Eastern Asia
Americas,MEX,Mexico,210,2008,3,Central America
Europe,ITA,Italy,250,2008,5,Southern Europe
Asia,YEM,"Yemen, Rep.",470,2008,1,Western Asia
Asia,TUR,Turkey,760,2008,3,Western Asia
Asia,MMR,Myanmar,810,2008,1,South-Eastern Asia
Asia,IND,India,1200,2008,2,Southern Asia
Asia,SYR,Syrian Arab Republic,1990,2008,2,Western Asia
Europe,GBR,United Kingdom,2010,2008,5,Northern Europe
Americas,PER,Peru,2160,2008,3,South America
Europe,NOR,Norway,2490,2008,5,Northern Europe
Africa,COD,"Congo, Dem. Rep.",2540,2008,1,Middle Africa
Europe,FRA,France,2800,2008,5,Western Europe
Asia,IRQ,Iraq,3020,2008,2,Western Asia
Asia,SGP,Singapore,3570,2008,4,South-Eastern Asia
Europe,GRC,Greece,4150,2008,5,Southern Europe
Africa,NER,Niger,5180,2008,1,Western Africa
Americas,USA,United States,5370,2008,5,North America
Oceania,AUS,Australia,15590,2008,5,Australia and New Zealand
Americas,BHS,"Bahamas, The",100,2009,4,North America
Asia,QAT,Qatar,100,2009,4,Western Asia
Europe,BGR,Bulgaria,120,2009,3,Eastern Europe
Asia,UZB,Uzbekistan,190,2009,2,Central Asia
Asia,LAO,Lao PDR,200,2009,1,South-Eastern Asia
Asia,IDN,Indonesia,230,2009,2,South-Eastern Asia
Africa,SDN,Sudan,260,2009,2,Eastern Africa
Africa,EGY,"Egypt, Arab Rep.",280,2009,2,Northern Africa
Americas,TTO,Trinidad and Tobago,320,2009,4,North America
Asia,IND,India,350,2009,2,Southern Asia
Africa,ZMB,Zambia,370,2009,1,Eastern Africa
Africa,TCD,Chad,470,2009,1,Middle Africa
Asia,PAK,Pakistan,500,2009,2,Southern Asia
Asia,THA,Thailand,530,2009,2,South-Eastern Asia
