region,id,country,in_stock,out_stock,year,group,gni
Americas,BMU,Bermuda,2632,928,2014,4,"106,140.00"
Europe,NOR,Norway,185620,213948,2014,5,"104,000.00"
Asia,QAT,Qatar,31004,35182,2014,4,"92,200.00"
Europe,CHE,Switzerland,681849,1130615,2014,5,"86,000.00"
Asia,MAC,Macao,26747,2277,2014,4,"76,300.00"
Europe,LUX,Luxembourg,161311,149892,2014,5,"75,990.00"
Oceania,AUS,Australia,564608.2299,443519.164,2014,5,"64,620.00"
Europe,SWE,Sweden,321103,379528,2014,5,"61,600.00"
Europe,DNK,Denmark,82922,183025,2014,5,"61,300.00"
Americas,USA,United States,5409884,6318640,2014,5,"55,200.00"
Asia,SGP,Singapore,912355,576396,2014,4,"55,200.00"
Europe,NLD,Netherlands,664442,985256,2014,5,"51,900.00"
Americas,CAN,Canada,631316,714555,2014,5,"51,600.00"
Europe,AUT,Austria,180825,223246,2014,5,"49,700.00"
Asia,KWT,Kuwait,15362,36531,2014,4,"49,300.00"
Europe,FIN,Finland,133116,164554,2014,5,"48,400.00"
Europe,ISL,Iceland,7425,7955,2014,5,"47,720.00"
Europe,DEU,Germany,743512,1583279,2014,5,"47,600.00"
Europe,BEL,Belgium,525612,450178,2014,5,"47,300.00"
Europe,IRL,Ireland,369168,628026,2014,5,"46,600.00"
Asia,ARE,United Arab Emirates,115561,66298,2014,4,"44,600.00"
Europe,GBR,United Kingdom,1662858,1584147,2014,5,"43,400.00"
Europe,FRA,France,729147,1279089,2014,5,"43,000.00"
Asia,JPN,Japan,170615,1193137,2014,5,"42,000.00"
Oceania,NZL,New Zealand,76791,18678,2014,5,"41,370.00"
Asia,BRN,Brunei,6219,134,2014,4,"40,978.53"
Asia,HKG,Hong Kong,1549849,1459947,2014,4,"40,300.00"
Asia,ISR,Israel,98697,78016,2014,5,"35,300.00"
Europe,ITA,Italy,373738,548416,2014,5,"34,300.00"
Europe,ESP,Spain,721880,673989,2014,5,"29,400.00"
Asia,KOR,South Korea,182037,258553,2014,5,"27,100.00"
Asia,CYP,Cyprus,58145,41913,2014,4,"26,400.00"
Asia,SAU,Saudi Arabia,215909,44699,2014,4,"25,500.00"
Europe,SVN,Slovenia,12743,6193,2014,5,"23,600.00"
Asia,TWN,Taiwan,68636,258829,2014,4,"23,300.00"
Europe,GRC,Greece,20181,33939,2014,5,"22,040.00"
Europe,PRT,Portugal,108515,58355,2014,5,"21,400.00"
Americas,BHS,"Bahamas, The",18751,3868,2014,4,"21,000.00"
Europe,MLT,Malta,172358,44493,2014,4,"21,000.00"
Asia,BHR,Bahrain,18771,10672,2014,4,"20,860.00"
Americas,TTO,Trinidad and Tobago,26125,6411,2014,4,"20,070.00"
Americas,PRI,Puerto Rico,,,2014,4,"19,320.00"
Europe,EST,Estonia,19298,6319,2014,5,"19,000.00"
Europe,CZE,Czech Republic,121530,19041,2014,5,"18,400.00"
Asia,OMN,Oman,19707,7453,2014,4,"18,340.00"
Europe,SVK,Slovakia,53216,2975,2014,5,"17,800.00"
Americas,URY,Uruguay,22318,428,2014,4,"16,400.00"
Europe,LTU,Lithuania,14691,2683,2014,4,"15,400.00"
Europe,LVA,Latvia,14567,1170,2014,4,"15,300.00"
