Source,Country,Value
Food for Peace Title II,Afghanistan,1
Emergency Food Security Program,Afghanistan,1
McGovern-Robert Dole,Afghanistan,1
Food for Progress,Afghanistan,1
Global Agriculture and Food Security Program,Afghanistan,1
Food for Peace Title II,Algeria,1
Emergency Food Security Program,Algeria,1
Emergency Food Security Program,Angola,1
McGovern-Robert Dole,Angola,1
Emergency Food Security Program,Armenia,1
Food for Progress,Armenia,1
Farmer to Farmer,Armenia,1
Feed the Future,Bangladesh,1
Emergency Food Security Program,Bangladesh,1
McGovern-Robert Dole,Bangladesh,1
Food for Progress,Bangladesh,1
Global Agriculture and Food Security Program,Bangladesh,1
Emergency Food Security Program,Benin,1
McGovern-Robert Dole,Benin,1
Food for Progress,Benin,1
Global Agriculture and Food Security Program,Benin,1
Global Agriculture and Food Security Program,Bhutan,1
McGovern-Robert Dole,Bolivia,1
Food for Progress,Bolivia,1
Emergency Food Security Program,Brazil,1
Food for Peace Title II,Bukina Faso,1
McGovern-Robert Dole,Bukina Faso,1
Food for Progress,Bukina Faso,1
Global Agriculture and Food Security Program,Bukina Faso,1
Community Development Funds,Bukina Faso,1
Emergency Food Security Program,Burma,1
Food for Peace Title II,Burundi,1
Emergency Food Security Program,Burundi,1
McGovern-Robert Dole,Burundi,1
Food for Progress,Burundi,1
Global Agriculture and Food Security Program,Burundi,1
Emergency Food Security Program,Cabo Verde,1
Feed the Future,Cambodia,1
McGovern-Robert Dole,Cambodia,1
Food for Progress,Cambodia,1
Global Agriculture and Food Security Program,Cambodia,1
Emergency Food Security Program,Cambodia,1
Food for Peace Title II,Cameroon,1
Emergency Food Security Program,Cameroon,1
McGovern-Robert Dole,Cameroon,1
Global Agriculture and Food Security Program,Cameroon,1
Food for Peace Title II,Central African Republic,1
Emergency Food Security Program,Central African Republic,1
Global Agriculture and Food Security Program,Central African Republic,1
Food for Peace Title II,Chad,1
Emergency Food Security Program,Chad,1
McGovern-Robert Dole,Chad,1
Food for Progress,Chad,1
Global Agriculture and Food Security Program,Chad,1
Food for Peace Title II,Colombia,1
Emergency Food Security Program,Colombia,1
Food for Progress,Colombia,1
Food for Peace Title II,Congo,1
Emergency Food Security Program,Congo,1
Food for Peace Title II,Cote D'Ivoire,1
Emergency Food Security Program,Cote D'Ivoire,1
McGovern-Robert Dole,Cote D'Ivoire,1
Food for Progress,Cote D'Ivoire,1
Global Agriculture and Food Security Program,Cote D'Ivoire,1
Food for Peace Title II,Democratic Republic of the Congo,1
Emergency Food Security Program,Democratic Republic of the Congo,1
Food for Progress,Democratic Republic of the Congo,1
Global Agriculture and Food Security Program,Democratic Republic of the Congo,1
Food for Peace Title II,Djibouti,1
Emergency Food Security Program,Djibouti,1
Food for Progress,Dominican Republic,1
Farmer to Farmer,Dominican Republic,1
Emergency Food Security Program,Dominican Republic,1
Emergency Food Security Program,Ecuador,1
Food for Progress,Ecuador,1
Farmer to Farmer,Ecuador,1
Emergency Food Security Program,Egypt,1
Food for Progress,Egypt,1
Farmer to Farmer,Egypt,1
Emergency Food Security Program,El Salvador,1
McGovern-Robert Dole,El Salvador,1
Food for Progress,El Salvador,1
Farmer to Farmer,El Salvador,1
Feed the Future,Ethiopia,1
Food for Peace Title II,Ethiopia,1
Emergency Food Security Program,Ethiopia,1
McGovern-Robert Dole,Ethiopia,1
Food for Progress,Ethiopia,1
Farmer to Farmer,Ethiopia,1
Bill Emerson Humanitarian Trust,Ethiopia,1
Global Agriculture and Food Security Program,Ethiopia,1
Global Agriculture and Food Security Program,Federated States of Micronesia,1
Emergency Food Security Program,Gambia,1
McGovern-Robert Dole,Gambia,1
Food for Progress,Gambia,1
Global Agriculture and Food Security Program,Gambia,1
Food for Progress,Georgia,1
Farmer to Farmer,Georgia,1
Feed the Future,Ghana,1
Food for Progress,Ghana,1
Global Agriculture and Food Security Program,Ghana,1
Feed the Future,Guatemala,1
Food for Peace Title II,Guatemala,1
Emergency Food Security Program,Guatemala,1
McGovern-Robert Dole,Guatemala,1
Food for Progress,Guatemala,1
Farmer to Farmer,Guatemala,1
Community Development Funds,Guatemala,1
Food for Peace Title II,Guinea,1
Emergency Food Security Program,Guinea,1
Farmer to Farmer,Guinea,1
Global Agriculture and Food Security Program,Guinea,1
McGovern-Robert Dole,Guinea-Bissau,1
Food for Progress,Guinea-Bissau,1
Global Agriculture and Food Security Program,Guinea-Bissau,1
Farmer to Farmer,Guyana,1
Feed the Future,Haiti,1
Food for Peace Title II,Haiti,1
Emergency Food Security Program,Haiti,1
McGovern-Robert Dole,Haiti,1
Food for Progress,Haiti,1
Global Agriculture and Food Security Program,Haiti,1
Community Development Funds,Haiti,1
Feed the Future,Honduras,1
Emergency Food Security Program,Honduras,1
McGovern-Robert Dole,Honduras,1
Food for Progress,Honduras,1
Farmer to Farmer,Honduras,1
Global Agriculture and Food Security Program,Honduras,1
Food for Progress,Indonesia,1
Food for Peace Title II,Iraq,1
Emergency Food Security Program,Iraq,1
Food for Progress,Jamaica,1
Farmer to Farmer,Jamaica,1
Emergency Food Security Program,Jordan,1
Food for Progress,Jordan,1
Feed the Future,Kenya,1
Food for Peace Title II,Kenya,1
Emergency Food Security Program,Kenya,1
McGovern-Robert Dole,Kenya,1
Food for Progress,Kenya,1
Farmer to Farmer,Kenya,1
Bill Emerson Humanitarian Trust,Kenya,1
Global Agriculture and Food Security Program,Kenya,1
Community Development Funds,Kenya,1
Global Agriculture and Food Security Program,Kiribati,1
Global Agriculture and Food Security Program,Kosovo,1
McGovern-Robert Dole,Kyrgyzstan,1
Farmer to Farmer,Kyrgyzstan,1
Global Agriculture and Food Security Program,Kyrgyzstan,1
Emergency Food Security Program,Laos,1
McGovern-Robert Dole,Laos,1
Food for Progress,Laos,1
Global Agriculture and Food Security Program,Laos,1
Emergency Food Security Program,Lebanon,1
Farmer to Farmer,Lebanon,1
Emergency Food Security Program,Lesotho,1
McGovern-Robert Dole,Lesotho,1
Food for Progress,Lesotho,1
Global Agriculture and Food Security Program,Lesotho,1
Feed the Future,Liberia,1
Food for Peace Title II,Liberia,1
Emergency Food Security Program,Liberia,1
McGovern-Robert Dole,Liberia,1
Food for Progress,Liberia,1
Farmer to Farmer,Liberia,1
Global Agriculture and Food Security Program,Liberia,1
Emergency Food Security Program,Libya,1
Feed the Future,Madgascar,1
Food for Peace Title II,Madgascar,1
Emergency Food Security Program,Madgascar,1
McGovern-Robert Dole,Madgascar,1
Food for Progress,Madgascar,1
Farmer to Farmer,Madgascar,1
Global Agriculture and Food Security Program,Madgascar,1
Community Development Funds,Madgascar,1
Feed the Future,Malawi,1
Food for Peace Title II,Malawi,1
Emergency Food Security Program,Malawi,1
McGovern-Robert Dole,Malawi,1
Food for Progress,Malawi,1
Farmer to Farmer,Malawi,1
Global Agriculture and Food Security Program,Malawi,1
Community Development Funds,Malawi,1
Global Agriculture and Food Security Program,Maldives,1
Feed the Future,Mali,1
Food for Peace Title II,Mali,1
Emergency Food Security Program,Mali,1
McGovern-Robert Dole,Mali,1
Food for Progress,Mali,1
Global Agriculture and Food Security Program,Mali,1
Community Development Funds,Mali,1
Global Agriculture and Food Security Program,Marshall Islands,1
Food for Peace Title II,Mauritania,1
Emergency Food Security Program,Mauritania,1
McGovern-Robert Dole,Mauritania,1
Food for Progress,Mauritania,1
Global Agriculture and Food Security Program,Mauritania,1
Feed the Future,Mongolia,1
Food for Peace Title II,Mongolia,1
Emergency Food Security Program,Mongolia,1
McGovern-Robert Dole,Mongolia,1
Food for Progress,Mongolia,1
Global Agriculture and Food Security Program,Mongolia,1
Feed the Future,Mozambique,1
Food for Peace Title II,Mozambique,1
Emergency Food Security Program,Mozambique,1
McGovern-Robert Dole,Mozambique,1
Food for Progress,Mozambique,1
Global Agriculture and Food Security Program,Myanmar,1
Emergency Food Security Program,Namibia,1
Feed the Future,Nepal,1
Emergency Food Security Program,Nepal,1
McGovern-Robert Dole,Nepal,1
Farmer to Farmer,Nepal,1
Global Agriculture and Food Security Program,Nepal,1
Community Development Funds,Nepal,1
Emergency Food Security Program,Nicaragua,1
McGovern-Robert Dole,Nicaragua,1
Food for Progress,Nicaragua,1
Global Agriculture and Food Security Program,Nicaragua,1
Feed the Future,Niger,1
Food for Peace Title II,Niger,1
Emergency Food Security Program,Niger,1
McGovern-Robert Dole,Niger,1
Food for Progress,Niger,1
Global Agriculture and Food Security Program,Niger,1
Community Development Funds,Niger,1
Feed the Future,Nigeria,1
Food for Peace Title II,Nigeria,1
Emergency Food Security Program,Nigeria,1
Food for Progress,Nigeria,1
Food for Peace Title II,Pakistan,1
Emergency Food Security Program,Pakistan,1
McGovern-Robert Dole,Pakistan,1
Food for Progress,Pakistan,1
Emergency Food Security Program,Papua New Guinea,1
Food for Progress,Paraguay,1
Emergency Food Security Program,Peru,1
Food for Progress,Peru,1
Farmer to Farmer,Peru,1
Food for Peace Title II,Philippines,1
Emergency Food Security Program,Philippines,1
Food for Progress,Philippines,1
Farmer to Farmer,Philippines,1
Food for Peace Title II,Republic of Congo,1
Emergency Food Security Program,Republic of Congo,1
McGovern-Robert Dole,Republic of Congo,1
Feed the Future,Rwanda,1
Emergency Food Security Program,Rwanda,1
McGovern-Robert Dole,Rwanda,1
Food for Progress,Rwanda,1
Farmer to Farmer,Rwanda,1
Global Agriculture and Food Security Program,Rwanda,1
Emergency Food Security Program,Saint Vincent and the Grenadines,1
Global Agriculture and Food Security Program,Samoa,1
Feed the Future,Senegal,1
Food for Peace Title II,Senegal,1
Emergency Food Security Program,Senegal,1
McGovern-Robert Dole,Senegal,1
Food for Progress,Senegal,1
Farmer to Farmer,Senegal,1
Global Agriculture and Food Security Program,Senegal,1
Food for Peace Title II,Sierra Leone,1
Emergency Food Security Program,Sierra Leone,1
McGovern-Robert Dole,Sierra Leone,1
Farmer to Farmer,Sierra Leone,1
Global Agriculture and Food Security Program,Sierra Leone,1
Global Agriculture and Food Security Program,Solomon Islands,1
Food for Peace Title II,Somalia,1
Emergency Food Security Program,Somalia,1
Bill Emerson Humanitarian Trust,Somalia,1
Global Agriculture and Food Security Program,Somalia,1
Community Development Funds,Somalia,1
Food for Peace Title II,South Sudan,1
Emergency Food Security Program,South Sudan,1
Food for Progress,South Sudan,1
Bill Emerson Humanitarian Trust,South Sudan,1
Global Agriculture and Food Security Program,South Sudan,1
Emergency Food Security Program,Sri Lanka,1
McGovern-Robert Dole,Sri Lanka,1
Food for Progress,Sri Lanka,1
Food for Peace Title II,Sudan,1
Emergency Food Security Program,Sudan,1
Food for Progress,Sudan,1
Bill Emerson Humanitarian Trust,Sudan,1
Food for Peace Title II,Syria,1
Emergency Food Security Program,Syria,1
Feed the Future,Tajikistan,1
Global Agriculture and Food Security Program,Tajikistan,1
Feed the Future,Tanzania,1
Food for Peace Title II,Tanzania,1
Emergency Food Security Program,Tanzania,1
McGovern-Robert Dole,Tanzania,1
Food for Progress,Tanzania,1
Farmer to Farmer,Tanzania,1
Global Agriculture and Food Security Program,Tanzania,1
Food for Progress,Thailand,1
Farmer to Farmer,Thailand,1
McGovern-Robert Dole,Timor-Leste,1
Food for Progress,Timor-Leste,1
Farmer to Farmer,Timor-Leste,1
Global Agriculture and Food Security Program,Timor-Leste,1
Emergency Food Security Program,Togo,1
McGovern-Robert Dole,Togo,1
Food for Progress,Togo,1
Global Agriculture and Food Security Program,Togo,1
Emergency Food Security Program,Turkey,1
Global Agriculture and Food Security Program,Tuvalu,1
Feed the Future,Uganda,1
Food for Peace Title II,Uganda,1
Emergency Food Security Program,Uganda,1
McGovern-Robert Dole,Uganda,1
Food for Progress,Uganda,1
Farmer to Farmer,Uganda,1
Global Agriculture and Food Security Program,Uganda,1
Community Development Funds,Uganda,1
Emergency Food Security Program,Ukraine,1
McGovern-Robert Dole,Uzbekistan,1
Emergency Food Security Program,Vanuatu,1
Global Agriculture and Food Security Program,Vanuatu,1
Emergency Food Security Program,Venezuela,1
Emergency Food Security Program,Vietnam,1
Food for Peace Title II,West Bank/Gaza,1
Emergency Food Security Program,West Bank/Gaza,1
Food for Peace Title II,Yemen,1
Emergency Food Security Program,Yemen,1
Food for Progress,Yemen,1
Bill Emerson Humanitarian Trust,Yemen,1
Global Agriculture and Food Security Program,Yemen,1
Feed the Future,Zambia,1
Food for Peace Title II,Zambia,1
Emergency Food Security Program,Zambia,1
Farmer to Farmer,Zambia,1
Global Agriculture and Food Security Program,Zambia,1
Food for Peace Title II,Zimbabwe,1
Emergency Food Security Program,Zimbabwe,1
