"Date","total_launched","total_destroyed","model_details"
2022-09-28,8,7,"Reconnaissance UAV : Launched  3 , Destroyed  3; X-59 : Launched  5 , Destroyed  4"
2022-09-29,7,5,"Shahed-136/131 : Launched  7 , Destroyed  5"
2022-09-30,3,3,"Orlan-10 : Launched  3 , Destroyed  3"
2022-10-01,1,1,"Orlan-10 : Launched  1 , Destroyed  1"
2022-10-02,7,5,"Shahed-136/131 : Launched  7 , Destroyed  5"
2022-10-05,8,8,"Orlan-10 : Launched  1 , Destroyed  1; Shahed-136/131 : Launched  7 , Destroyed  7"
2022-10-06,17,17,"Mohajer-6 : Launched  2 , Destroyed  2; Orlan-10 : Launched  1 , Destroyed  1; Shahed-136/131 : Launched  14 , Destroyed  14"
2022-10-07,3,3,"Shahed-136/131 : Launched  3 , Destroyed  3"
2022-10-08,3,3,"Shahed-136/131 : Launched  1 , Destroyed  1; Unknown UAV : Launched  2 , Destroyed  2"
2022-10-09,22,1,"C-300 : Launched  16 , Destroyed  0; X-22 : Launched  4 , Destroyed  0; X-59 : Launched  2 , Destroyed  1"
2022-10-10,108,56,"Shahed-136/131 : Launched  13 , Destroyed  10; Unknown UAV : Launched  11 , Destroyed  3; X-101/X-555 and Kalibr : Launched  84 , Destroyed  43"
2022-10-11,62,54,"Shahed-136/131 : Launched  34 , Destroyed  34; X-101/X-555 and Kalibr : Launched  28 , Destroyed  20"
2022-10-12,19,19,"Lancet : Launched  2 , Destroyed  2; Shahed-136/131 : Launched  17 , Destroyed  17"
2022-10-13,11,11,"Kalibr : Launched  5 , Destroyed  5; Shahed-136/131 : Launched  6 , Destroyed  6"
2022-10-14,8,8,"Shahed-136/131 : Launched  8 , Destroyed  8"
2022-10-15,6,6,"Shahed-136/131 : Launched  6 , Destroyed  6"
2022-10-16,11,11,"Shahed-136/131 : Launched  11 , Destroyed  11"
2022-10-17,39,39,"Kalibr : Launched  2 , Destroyed  2; Shahed-136/131 : Launched  34 , Destroyed  34; Unknown Missile : Launched  3 , Destroyed  3"
2022-10-18,11,11,"Kalibr : Launched  4 , Destroyed  4; Shahed-136/131 : Launched  6 , Destroyed  6; X-101/X-555 : Launched  1 , Destroyed  1"
2022-10-19,29,27,"Shahed-136/131 : Launched  23 , Destroyed  23; X-101/X-555 : Launched  6 , Destroyed  4"
2022-10-20,14,14,"Shahed-136/131 : Launched  14 , Destroyed  14"
2022-10-22,43,28,"Kalibr : Launched  16 , Destroyed  5; Shahed-136/131 : Launched  10 , Destroyed  10; X-101/X-555 : Launched  17 , Destroyed  13"
2022-10-23,16,16,"Shahed-136/131 : Launched  16 , Destroyed  16"
2022-10-25,3,3,"Shahed-136/131 : Launched  3 , Destroyed  3"
2022-10-26,21,20,"Shahed-136/131 : Launched  20 , Destroyed  19; X-59 : Launched  1 , Destroyed  1"
2022-10-31,50,44,"X-101/X-555 : Launched  50 , Destroyed  44"
2022-11-01,7,7,"Reconnaissance UAV : Launched  1 , Destroyed  1; Shahed-136/131 : Launched  6 , Destroyed  6"
2022-11-02,13,12,"Shahed-136/131 : Launched  13 , Destroyed  12"
2022-11-04,25,25,"Kalibr : Launched  2 , Destroyed  2; Reconnaissance UAV : Launched  3 , Destroyed  3; Shahed-136/131 : Launched  20 , Destroyed  20"
2022-11-09,6,6,"Orlan-10 : Launched  1 , Destroyed  1; Shahed-136/131 : Launched  5 , Destroyed  5"
2022-11-14,2,2,"Unknown UAV : Launched  2 , Destroyed  2"
